"","Season","Name","Team","G","AB","PA","H","Singles","Doubles","Triples","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid","TotalBases","Points"
"262",1920,"Carson Bigbee","Pirates",137,550,607,154,116,19,15,4,78,32,45,NA,28,6,NA,6,NA,31,15,0.28,1000956,215,379
"263",1938,"Paul Waner","Pirates",148,625,680,175,132,31,6,6,77,69,47,NA,28,1,NA,7,16,2,NA,0.28,1013597,236,404
"264",1990,"Bobby Bonilla","Pirates",160,625,686,175,97,39,7,32,112,120,45,9,103,1,15,0,11,4,3,0.28,1001168,324,503
"265",1959,"Bob Skinner","Pirates",143,547,617,153,118,18,4,13,78,61,67,8,65,0,2,1,6,10,7,0.28,1012037,218,369
"266",2012,"Neil Walker","Pirates",129,472,530,132,91,27,0,14,62,69,47,1,104,2,8,1,11,7,5,0.28,7539,201,284
"267",1983,"Dave Parker","Pirates",144,552,586,154,109,29,4,12,68,69,28,6,89,0,6,0,11,12,9,0.279,1010000,227,315
"268",1937,"Woody Jensen","Pirates",124,509,536,142,105,23,9,5,77,45,15,NA,29,1,NA,11,13,2,NA,0.279,1006400,198,309
"269",2017,"Andrew McCutchen","Pirates",156,570,650,159,99,30,2,28,94,88,73,5,116,4,3,0,10,11,5,0.279,9847,277,431
"270",1965,"Bill Virdon","Pirates",135,481,519,134,103,22,5,4,58,24,30,0,49,1,0,7,6,4,3,0.279,1013437,178,246
"271",1951,"Gus Bell","Pirates",149,600,647,167,112,27,12,16,80,89,42,NA,41,4,NA,1,9,1,4,0.278,1000809,266,441
"272",1978,"Frank Taveras","Pirates",157,654,702,182,142,31,9,0,81,38,29,3,60,5,2,12,4,46,25,0.278,1012852,231,370
"273",1937,"Gus Suhr","Pirates",151,575,667,160,113,28,14,5,69,97,83,NA,42,0,NA,9,9,2,NA,0.278,1012674,231,440
"274",1997,"Tony Womack","Pirates",155,641,689,178,137,26,9,6,85,50,43,2,109,3,0,2,6,60,7,0.278,78,240,372
"275",1938,"Pep Young","Pirates",149,562,610,156,111,36,5,4,58,79,40,NA,64,3,NA,5,15,7,NA,0.278,1014387,214,337
"276",1968,"Maury Wills","Pirates",153,627,685,174,156,12,6,0,76,31,45,1,57,1,1,11,10,52,21,0.278,1014053,198,346
"277",1980,"Bill Madlock","Pirates",137,494,546,137,101,22,4,10,62,53,45,12,33,4,3,0,15,16,10,0.277,1007957,197,344
"278",2018,"Starling Marte","Pirates",145,559,606,155,98,32,5,20,81,72,35,2,109,8,3,1,11,33,14,0.277,9241,257,377
"279",1999,"Al Martin","Pirates",143,541,593,150,82,36,8,24,97,63,49,5,119,1,2,0,8,20,3,0.277,1167,274,385
"280",1946,"Jim Russell","Pirates",146,516,591,143,100,29,6,8,68,50,67,NA,54,2,NA,6,11,11,NA,0.277,1011315,208,352
"281",1923,"Rabbit Maranville","Pirates",141,581,633,161,132,19,9,1,78,41,42,NA,34,1,NA,9,NA,14,11,0.277,1008099,201,343
"282",1994,"Carlos Garcia","Pirates",98,412,434,114,91,15,2,6,49,28,16,2,67,4,1,1,6,18,9,0.277,1004496,151,199
"283",1981,"Omar Moreno","Pirates",103,434,468,120,93,18,8,1,62,35,26,4,76,3,4,1,1,39,14,0.276,1009167,157,246
"284",1928,"Sparky Adams","Pirates",135,539,628,149,129,14,6,0,91,38,64,NA,18,4,NA,21,NA,8,NA,0.276,1000063,175,362
"285",2008,"Nate McLouth","Pirates",152,597,685,165,89,46,4,26,113,94,65,11,93,12,6,5,5,23,3,0.276,3190,297,511
"286",1933,"Lloyd Waner","Pirates",121,500,526,138,119,14,5,0,59,26,22,NA,8,0,NA,4,4,3,NA,0.276,1013596,162,264
"287",1994,"Jay Bell","Pirates",110,424,487,117,69,35,4,9,68,45,49,1,82,3,3,8,15,2,0,0.276,48,187,272
"288",1982,"Mike Easler","Pirates",142,475,526,131,87,27,2,15,52,58,40,12,85,6,4,1,11,1,1,0.276,1003635,207,279
"289",1963,"Donn Clendenon","Pirates",154,563,614,155,105,28,7,15,65,57,39,3,136,5,4,3,14,22,13,0.275,1002345,242,294
"290",1987,"Sid Bream","Pirates",149,516,572,142,101,25,3,13,64,65,49,11,69,0,4,3,19,9,8,0.275,1001373,212,330
"291",1961,"Dick Groat","Pirates",148,596,648,164,127,25,6,6,71,55,40,0,44,1,4,7,22,0,4,0.275,1005075,219,342
"292",1958,"Bill Mazeroski","Pirates",152,567,607,156,107,24,6,19,69,68,25,3,71,3,3,9,15,1,1,0.275,1008316,249,344
"293",1959,"Dick Groat","Pirates",147,593,640,163,129,22,7,5,74,51,32,2,35,2,4,9,21,0,2,0.275,1005075,214,338
"294",1985,"Johnny Ray","Pirates",154,594,652,163,120,33,3,7,67,70,46,10,24,1,6,5,11,13,9,0.274,1010727,223,396
"295",1956,"Lee Walls","Pirates",143,474,537,130,88,20,11,11,72,54,50,0,83,2,2,9,11,3,5,0.274,1013563,205,303
"296",1947,"Billy Cox","Pirates",132,529,561,145,93,30,7,15,75,54,29,NA,28,1,NA,2,5,5,NA,0.274,1002692,234,370
"297",1921,"Charlie Grimm","Pirates",151,562,611,154,109,21,17,7,62,71,31,NA,38,2,NA,16,NA,6,8,0.274,1005068,230,364
"298",1988,"Bobby Bonilla","Pirates",159,584,681,160,97,32,7,24,87,100,85,19,82,4,8,0,4,3,5,0.274,1001168,278,475
"299",1986,"Jim Morrison","Pirates",154,537,593,147,85,35,4,23,58,88,47,5,88,4,5,0,6,9,8,0.274,1009212,259,377
"300",2012,"Garrett Jones","Pirates",145,475,515,130,72,28,3,27,68,86,33,2,103,0,7,0,3,2,0,0.274,2714,245,331
"301",2011,"Neil Walker","Pirates",159,596,662,163,111,36,4,12,76,83,54,5,112,4,8,0,15,9,6,0.273,7539,243,357
"302",1941,"Bob Elliott","Pirates",141,527,599,144,107,24,10,3,74,76,64,NA,52,1,NA,7,12,6,NA,0.273,1003733,197,366
"303",1960,"Bill Mazeroski","Pirates",151,538,591,147,110,21,5,11,58,64,40,15,50,1,8,4,9,4,0,0.273,1008316,211,328
"304",1960,"Bob Skinner","Pirates",145,571,640,156,102,33,6,15,83,86,59,11,86,1,4,5,13,11,8,0.273,1012037,246,400
"305",1956,"Dick Groat","Pirates",142,520,575,142,120,19,3,0,40,37,35,3,25,0,3,17,14,0,3,0.273,1005075,167,254
"306",1940,"Maurice Van Robays","Pirates",145,572,609,156,111,27,7,11,82,116,33,NA,58,3,NA,1,16,2,NA,0.273,1013361,230,408
"307",2006,"Jack Wilson","Pirates",142,543,594,148,112,27,1,8,70,35,33,0,65,4,5,9,15,4,3,0.273,1017,201,282
"308",1940,"Elbie Fletcher","Pirates",147,510,641,139,94,22,7,16,94,104,119,NA,54,9,NA,3,12,5,NA,0.273,1004150,223,500
"309",1950,"Ralph Kiner","Pirates",150,547,672,149,75,21,6,47,112,118,122,NA,79,3,NA,0,22,2,NA,0.272,1006923,323,601
"310",1935,"Gus Suhr","Pirates",153,529,604,144,89,33,12,10,68,81,70,NA,54,0,NA,5,6,6,NA,0.272,1012674,231,402
"311",2005,"Rob Mackowiak","Pirates",142,463,512,126,93,21,3,9,57,58,43,4,100,3,1,2,7,8,4,0.272,995,180,249
"312",1965,"Willie Stargell","Pirates",144,533,582,145,85,25,8,27,68,107,39,13,127,7,3,0,8,1,1,0.272,1012426,267,362
"313",1994,"Orlando Merced","Pirates",108,386,432,105,72,21,3,9,48,51,42,5,58,1,2,0,17,4,1,0.272,1393,159,247
"314",2007,"Adam LaRoche","Pirates",152,563,632,153,90,42,0,21,71,88,62,5,131,3,4,0,18,1,1,0.272,1904,258,352
"315",2017,"Josh Harrison","Pirates",128,486,542,132,88,26,2,16,66,47,28,2,90,23,3,2,5,12,4,0.272,8202,210,296
"316",2014,"Neil Walker","Pirates",137,512,571,139,88,25,3,23,74,76,45,2,88,11,2,1,12,2,2,0.271,7539,239,359
"317",1934,"Tommy Thevenow","Pirates",122,446,472,121,103,16,2,0,37,54,20,NA,20,2,NA,4,15,0,NA,0.271,1012952,141,234
"318",1965,"Bill Mazeroski","Pirates",130,494,527,134,110,17,1,6,52,54,18,5,34,2,9,4,16,2,1,0.271,1008316,171,265
"319",1973,"Richie Hebner","Pirates",144,509,576,138,84,28,1,25,73,74,56,12,60,4,4,3,8,0,1,0.271,1005571,243,390
"320",1962,"Bill Mazeroski","Pirates",159,572,617,155,108,24,9,14,55,81,37,16,47,2,4,2,15,0,3,0.271,1008316,239,367
"321",1971,"Bob Robertson","Pirates",131,469,536,127,81,18,2,26,65,72,60,8,101,4,3,0,7,1,2,0.271,1011024,227,328
"322",1996,"Jeff King","Pirates",155,591,672,160,90,36,4,30,91,111,70,3,95,2,8,1,17,15,1,0.271,1006931,294,488
"323",2008,"Freddy Sanchez","Pirates",145,569,608,154,117,26,2,9,75,52,21,1,63,4,6,8,13,0,1,0.271,1624,211,300
"324",1967,"Willie Stargell","Pirates",134,462,536,125,81,18,6,20,54,73,67,25,103,3,2,2,12,1,0,0.271,1012426,215,310
"325",1970,"Al Oliver","Pirates",151,551,609,149,99,33,5,12,63,83,35,8,35,14,7,2,10,1,1,0.27,1009773,228,389
"326",2008,"Adam LaRoche","Pirates",136,492,554,133,73,32,3,25,66,85,54,7,122,2,6,0,9,1,1,0.27,1904,246,332
"327",1998,"Kevin Young","Pirates",159,592,657,160,91,40,2,27,88,108,44,1,127,11,9,0,20,15,7,0.27,1018,285,424
"328",1941,"Frankie Gustine","Pirates",121,463,497,125,93,24,7,1,46,46,28,NA,38,1,NA,5,9,5,NA,0.27,1005152,166,254
"329",1991,"Jay Bell","Pirates",157,608,697,164,108,32,8,16,96,67,52,1,99,4,3,30,15,10,6,0.27,48,260,390
"330",1954,"Dick Cole","Pirates",138,486,541,131,103,22,5,1,40,40,41,NA,48,0,6,8,20,0,0,0.27,1002414,166,239
"331",1944,"Johnny Barrett","Pirates",149,568,661,153,103,24,19,7,99,83,86,NA,56,1,NA,6,6,28,NA,0.269,1000597,236,477
"332",1993,"Carlos Garcia","Pirates",141,546,597,147,105,25,5,12,77,47,31,2,67,9,5,6,9,18,11,0.269,1004496,218,333
"333",1963,"Bill Virdon","Pirates",142,554,607,149,113,22,6,8,58,53,43,4,55,0,1,9,6,1,2,0.269,1013437,207,307
"334",2015,"Neil Walker","Pirates",151,543,603,146,95,32,3,16,69,71,44,5,110,8,8,0,9,4,1,0.269,7539,232,318
"335",1938,"Lee Handley","Pirates",139,570,629,153,114,25,8,6,91,51,53,NA,31,1,NA,5,13,7,NA,0.268,1005300,212,384
"336",1986,"Sid Bream","Pirates",154,522,591,140,82,37,5,16,73,77,60,5,73,1,7,1,14,13,7,0.268,1001373,235,386
"337",1964,"Bill Mazeroski","Pirates",162,601,644,161,121,22,8,10,66,64,29,11,52,0,4,10,21,1,1,0.268,1008316,229,337
"338",1999,"Ed Sprague","Pirates",137,490,564,131,80,27,2,22,71,81,50,6,93,17,6,1,12,3,6,0.267,1012356,228,357
"339",1948,"Frankie Gustine","Pirates",131,449,499,120,90,19,2,9,68,42,42,NA,62,2,NA,6,12,5,NA,0.267,1005152,170,267
"340",1997,"Jose Guillen","Pirates",143,498,526,133,94,20,5,14,58,70,17,0,88,8,3,0,16,1,2,0.267,57,205,271
"341",1941,"Vince DiMaggio","Pirates",151,528,605,141,88,27,5,21,73,100,68,NA,100,3,NA,6,9,10,NA,0.267,1003312,241,395
"342",1998,"Jose Guillen","Pirates",153,573,605,153,99,38,2,14,60,84,21,0,100,6,4,1,7,3,5,0.267,57,237,311
"343",1955,"Dick Groat","Pirates",151,521,572,139,105,28,2,4,45,51,38,11,26,1,1,11,20,0,2,0.267,1005075,183,292
"344",1933,"Gus Suhr","Pirates",154,566,655,151,99,31,11,10,72,75,72,NA,52,0,NA,17,11,2,NA,0.267,1012674,234,403
"345",1958,"Bill Virdon","Pirates",144,604,662,161,117,24,11,9,75,46,52,5,70,1,3,2,5,5,3,0.267,1013437,234,343
"346",1984,"Marvell Wynne","Pirates",154,653,702,174,139,24,11,0,77,39,42,0,81,0,2,5,8,24,19,0.266,1014312,220,321
"347",1924,"Rabbit Maranville","Pirates",152,594,640,158,103,33,20,2,62,71,35,NA,53,0,NA,11,NA,18,14,0.266,1008099,237,370
"348",2001,"Jason Kendall","Pirates",157,606,672,161,127,22,2,10,84,53,44,4,48,20,2,0,18,13,14,0.266,993,217,383
"349",1961,"Bill Mazeroski","Pirates",152,558,595,148,112,21,2,13,71,59,26,10,55,3,6,2,9,2,1,0.265,1008316,212,318
"350",1935,"Pep Young","Pirates",128,494,523,131,89,25,10,7,60,82,21,NA,59,2,NA,6,11,2,NA,0.265,1014387,197,305
"351",1995,"Jeff King","Pirates",122,445,509,118,71,27,2,18,61,87,55,5,63,1,8,0,10,7,4,0.265,1006931,203,351
"352",1991,"Jose Lind","Pirates",150,502,545,133,108,16,6,3,53,54,30,10,56,2,6,5,20,7,4,0.265,1007623,170,260
"353",1948,"Ralph Kiner","Pirates",156,555,670,147,83,19,5,40,104,123,112,NA,61,3,NA,0,15,1,NA,0.265,1006923,296,578
"354",1938,"Al Todd","Pirates",133,491,521,130,97,19,7,7,52,75,18,NA,31,4,NA,8,25,2,NA,0.265,1013094,184,304
"355",1991,"Andy Van Slyke","Pirates",138,491,577,130,82,24,7,17,87,83,71,1,85,4,11,0,5,10,3,0.265,1013363,219,389
"356",1980,"Tim Foli","Pirates",127,495,540,131,106,22,0,3,61,38,19,1,23,6,7,13,5,11,7,0.265,1004202,162,274
"357",1992,"Jay Bell","Pirates",159,632,712,167,116,36,6,9,87,55,55,0,103,4,2,19,12,7,5,0.264,48,242,347
"358",1988,"Sid Bream","Pirates",148,462,522,122,75,37,0,10,50,65,47,6,64,1,8,4,11,9,9,0.264,1001373,189,297
"359",2004,"Craig Wilson","Pirates",155,561,644,148,79,35,5,29,97,82,50,3,169,30,3,0,11,2,2,0.264,1015,280,372
"360",1970,"Willie Stargell","Pirates",136,474,529,125,73,18,3,31,70,85,44,11,119,5,6,0,14,0,1,0.264,1012426,242,327
"361",1944,"Pete Coscarart","Pirates",139,554,608,146,108,30,4,4,89,42,41,NA,57,1,NA,12,12,10,NA,0.264,1002649,196,322
"362",1946,"Bob Elliott","Pirates",140,486,559,128,95,25,3,5,50,68,64,NA,44,2,NA,7,15,6,NA,0.263,1003733,174,320
"363",1932,"Gus Suhr","Pirates",154,581,654,153,101,31,16,5,78,81,63,NA,39,2,NA,8,NA,7,NA,0.263,1012674,231,423
"364",1956,"Dale Long","Pirates",148,517,582,136,82,20,7,27,64,91,54,11,85,0,11,0,10,1,0,0.263,1007730,251,376
"365",2017,"David Freese","Pirates",130,426,503,112,86,16,0,10,44,52,58,5,116,15,4,0,10,0,1,0.263,9549,158,211
"366",1982,"Dale Berra","Pirates",156,529,583,139,99,25,5,10,64,61,33,12,83,4,9,8,15,6,6,0.263,1000896,204,289
"367",1994,"Jeff King","Pirates",94,339,378,89,61,23,0,5,36,42,30,1,38,0,7,2,7,3,2,0.263,1006931,127,200
"368",1966,"Bill Mazeroski","Pirates",162,621,660,163,118,22,7,16,56,82,31,9,62,1,5,2,16,4,3,0.262,1008316,247,359
"369",1995,"Jay Bell","Pirates",138,530,593,139,94,28,4,13,79,55,55,1,110,4,1,3,13,2,5,0.262,48,214,299
"370",1988,"Jose Lind","Pirates",154,611,668,160,130,24,4,2,82,49,42,0,75,0,3,12,11,15,4,0.262,1007623,198,311
"371",2018,"Josh Bell","Pirates",148,501,583,131,84,31,4,12,74,62,77,2,104,0,5,0,12,2,5,0.261,13145,206,317
"372",1951,"Pete Castiglione","Pirates",132,482,533,126,96,19,4,7,62,42,34,NA,28,1,NA,16,9,2,2,0.261,1002067,174,287
"373",1978,"Phil Garner","Pirates",154,528,609,138,94,25,9,10,66,66,66,12,71,5,7,3,18,27,14,0.261,1004541,211,370
"374",1967,"Bill Mazeroski","Pirates",163,639,679,167,130,25,3,9,62,77,30,7,55,0,5,5,17,1,2,0.261,1008316,225,340
"375",1987,"Barry Bonds","Pirates",150,551,611,144,76,34,9,25,99,59,54,3,88,3,3,0,4,32,10,0.261,1109,271,430
"376",1920,"Possum Whitted","Pirates",134,494,555,129,105,11,12,1,53,74,35,NA,36,3,NA,23,NA,11,11,0.261,1013913,167,307
"377",1990,"Jose Lind","Pirates",152,514,561,134,100,28,5,1,46,48,35,19,52,1,7,4,20,8,0,0.261,1007623,175,261
"378",1961,"Bill Virdon","Pirates",146,599,660,156,117,22,8,9,81,58,49,1,45,0,7,5,4,5,8,0.26,1013437,221,369
"379",1960,"Dick Stuart","Pirates",122,438,483,114,69,17,5,23,48,83,39,5,107,0,5,1,15,0,0,0.26,1012639,210,273
"380",1977,"Phil Garner","Pirates",153,585,651,152,90,35,10,17,99,77,55,4,65,2,2,7,13,32,9,0.26,1004541,258,458
"381",2000,"Warren Morris","Pirates",144,528,606,137,101,31,2,3,68,43,65,3,78,2,3,8,7,7,10,0.259,1424,181,288
"382",1983,"Jason Thompson","Pirates",152,517,623,134,95,20,1,18,70,76,99,7,128,1,6,0,14,1,0,0.259,1013014,210,329
"383",1980,"Phil Garner","Pirates",151,548,610,142,104,27,6,5,62,58,46,12,53,2,7,7,12,32,7,0.259,1004541,196,343
"384",1943,"Jim Russell","Pirates",146,533,614,138,104,19,11,4,79,44,77,NA,67,1,NA,3,13,12,NA,0.259,1011315,191,337
"385",2011,"Andrew McCutchen","Pirates",158,572,678,148,86,34,5,23,87,89,89,3,126,9,6,2,7,23,10,0.259,9847,261,432
"386",1946,"Frankie Gustine","Pirates",131,495,548,128,91,23,6,8,60,52,40,NA,52,3,NA,10,13,2,NA,0.259,1005152,187,292
"387",1921,"Clyde Barnhart","Pirates",124,449,505,116,85,15,13,3,66,62,32,NA,36,3,NA,21,NA,3,3,0.258,1000577,166,296
"388",1976,"Frank Taveras","Pirates",144,519,573,134,120,8,6,0,76,24,44,1,79,4,0,6,11,58,11,0.258,1012852,154,281
"389",2000,"Kevin Young","Pirates",132,496,541,128,81,27,0,20,77,88,32,1,96,8,5,0,15,8,3,0.258,1018,215,332
"390",2016,"Gregory Polanco","Pirates",144,527,587,136,76,34,4,22,79,86,53,6,119,0,6,1,13,17,6,0.258,12907,244,360
"391",2009,"Andy LaRoche","Pirates",150,524,590,135,89,29,5,12,64,64,50,1,84,8,2,6,16,3,1,0.258,6444,210,315
"392",2005,"Jack Wilson","Pirates",158,587,639,151,112,24,7,8,60,52,31,6,58,6,4,11,11,7,3,0.257,1017,213,311
"393",1976,"Rennie Stennett","Pirates",157,654,682,168,126,31,9,2,59,60,19,3,32,1,4,4,15,18,6,0.257,1012484,223,348
"394",1968,"Donn Clendenon","Pirates",158,584,645,150,107,20,6,17,63,87,47,4,163,1,8,5,14,10,3,0.257,1002345,233,278
"395",1945,"Johnny Barrett","Pirates",142,507,594,130,82,29,4,15,97,67,79,NA,68,0,NA,8,5,25,NA,0.256,1000597,212,412
"396",2015,"Gregory Polanco","Pirates",153,593,652,152,102,35,6,9,83,52,55,6,121,1,2,1,5,27,10,0.256,12907,226,323
"397",2003,"Jack Wilson","Pirates",150,558,615,143,110,21,3,9,58,62,36,3,74,4,6,11,11,5,5,0.256,1017,197,288
"398",2016,"Jordy Mercer","Pirates",149,519,584,133,97,22,3,11,66,59,51,8,83,5,2,7,11,1,1,0.256,6547,194,293
"399",2016,"Andrew McCutchen","Pirates",153,598,675,153,100,26,3,24,81,79,69,7,143,5,3,0,15,6,7,0.256,9847,257,354
"400",1946,"Elbie Fletcher","Pirates",148,532,651,136,99,25,8,4,72,66,111,NA,37,0,NA,8,7,4,NA,0.256,1004150,189,405
"401",1965,"Bob Bailey","Pirates",159,626,702,160,118,28,3,11,87,49,70,1,93,0,2,4,16,10,14,0.256,1000420,227,350
"402",1955,"Roberto Clemente","Pirates",124,474,501,121,82,23,11,5,48,47,18,3,60,2,3,4,14,2,5,0.255,1002340,181,238
"403",2017,"Josh Bell","Pirates",159,549,620,140,82,26,6,26,75,90,66,4,117,1,4,0,15,2,4,0.255,13145,256,373
"404",2017,"Jordy Mercer","Pirates",145,502,558,128,85,24,5,14,52,58,51,13,88,3,2,0,16,0,4,0.255,6547,204,280
"405",1953,"Frank Thomas","Pirates",128,455,510,116,63,22,1,30,68,102,50,NA,93,2,NA,3,12,1,2,0.255,1012976,230,360
"406",2014,"Jordy Mercer","Pirates",149,506,555,129,88,27,2,12,56,55,35,12,89,4,5,5,14,4,1,0.255,6547,196,261
"407",1959,"Bill Virdon","Pirates",144,519,583,132,98,24,2,8,67,41,55,11,65,2,2,5,7,7,4,0.254,1013437,184,291
"408",1984,"Jason Thompson","Pirates",154,543,636,138,99,22,0,17,61,74,87,14,73,2,4,0,13,0,0,0.254,1013014,211,362
"409",1990,"Jay Bell","Pirates",159,583,696,148,106,28,7,7,93,52,65,0,109,3,6,39,14,10,6,0.254,48,211,325
"410",2018,"Gregory Polanco","Pirates",130,461,535,117,56,32,6,23,75,81,61,5,117,3,7,0,11,12,2,0.254,12907,230,345
"411",2007,"Jose Bautista","Pirates",142,532,614,135,82,36,2,15,75,63,68,1,101,4,6,4,16,6,3,0.254,1887,220,335
"412",1947,"Jim Russell","Pirates",128,478,548,121,84,21,8,8,68,51,63,NA,58,2,NA,5,12,7,NA,0.253,1011315,182,315
"413",2006,"Jose Castillo","Pirates",148,518,562,131,92,25,0,14,54,65,32,8,98,5,6,1,22,6,4,0.253,1866,198,262
"414",1955,"Gene Freese","Pirates",134,455,510,115,72,21,8,14,69,44,34,4,57,4,1,16,10,5,1,0.253,1004328,194,293
"415",2002,"Jack Wilson","Pirates",147,527,586,133,103,22,4,4,77,47,37,2,74,4,1,17,7,5,2,0.252,1017,175,271
"416",1920,"George Cutshaw","Pirates",131,488,549,123,99,16,8,0,56,47,23,NA,10,1,NA,37,NA,17,14,0.252,1002913,155,289
"417",1965,"Gene Alley","Pirates",153,500,540,126,94,21,6,5,47,47,32,9,82,4,1,3,11,7,2,0.252,1000160,174,229
"418",1977,"Frank Taveras","Pirates",147,544,600,137,106,20,10,1,72,29,38,2,71,6,3,9,7,70,18,0.252,1012852,180,324
"419",1983,"Dale Berra","Pirates",161,537,614,135,99,25,1,10,51,52,61,19,84,0,2,7,10,8,5,0.251,1000896,192,280
"420",1957,"Bill Virdon","Pirates",144,561,605,141,94,28,11,8,59,50,33,5,69,0,3,8,8,3,3,0.251,1013437,215,291
"421",2013,"Neil Walker","Pirates",133,478,551,120,76,24,4,16,62,53,50,4,85,15,3,5,14,1,2,0.251,7539,200,296
"422",1968,"Bill Mazeroski","Pirates",143,506,556,127,104,18,2,3,36,42,38,10,38,2,4,6,18,3,4,0.251,1008316,158,241
"423",1996,"Jay Bell","Pirates",151,527,598,132,87,29,3,13,65,71,54,5,108,5,6,6,10,6,4,0.25,48,206,299
"424",1945,"Babe Dahlgren","Pirates",144,531,591,133,96,24,8,5,57,75,51,NA,51,2,NA,7,23,1,NA,0.25,1002925,188,323
"425",1937,"Lee Handley","Pirates",127,480,522,120,84,21,12,3,59,37,37,NA,40,1,NA,4,7,5,NA,0.25,1005300,174,273
"426",1952,"Gus Bell","Pirates",131,468,510,117,75,21,5,16,53,59,36,NA,72,2,NA,4,6,1,4,0.25,1000809,196,275
"427",1985,"Tony Pena","Pirates",147,546,587,136,97,27,2,10,53,59,29,4,67,0,5,7,19,12,8,0.249,1010153,197,283
"428",1967,"Donn Clendenon","Pirates",131,478,518,119,89,15,2,13,46,56,34,4,107,1,4,1,15,4,4,0.249,1002345,177,211
"429",1954,"Bob Skinner","Pirates",132,470,530,117,85,15,9,8,67,46,47,NA,59,0,2,11,11,4,0,0.249,1012037,174,279
"430",1947,"Hank Greenberg","Pirates",125,402,510,100,60,13,2,25,71,74,104,NA,73,4,NA,0,16,0,NA,0.249,1004996,192,372
"431",1980,"Omar Moreno","Pirates",162,676,745,168,133,20,13,2,87,36,57,11,101,2,7,3,9,96,33,0.249,1009167,220,397
"432",1936,"Pep Young","Pirates",125,475,514,118,79,23,10,6,47,77,29,NA,52,1,NA,9,9,3,NA,0.248,1014387,179,284
"433",1943,"Vince DiMaggio","Pirates",157,580,651,144,86,41,2,15,64,88,70,NA,126,0,NA,1,8,11,NA,0.248,1003312,234,341
"434",1989,"Barry Bonds","Pirates",159,580,679,144,85,34,6,19,96,58,93,22,93,1,4,1,9,32,10,0.248,1109,247,434
"435",1962,"Bill Virdon","Pirates",156,663,705,164,121,27,10,6,82,47,36,0,65,1,3,2,10,5,13,0.247,1013437,229,335
"436",2007,"Jason Bay","Pirates",145,538,614,133,85,25,2,21,78,84,59,3,141,9,8,0,8,4,1,0.247,1717,225,318
"437",1946,"Ralph Kiner","Pirates",144,502,579,124,81,17,3,23,63,81,74,NA,109,1,NA,2,15,3,NA,0.247,1006923,216,329
"438",1981,"Tim Foli","Pirates",86,316,351,78,64,12,2,0,32,20,17,0,10,1,3,14,2,7,7,0.247,1004202,94,161
"439",2010,"Garrett Jones","Pirates",158,592,654,146,90,34,1,21,64,86,53,2,123,1,8,0,18,7,3,0.247,2714,245,333
"440",1978,"Bill Robinson","Pirates",136,499,552,123,71,36,2,14,70,80,35,8,105,5,11,2,7,14,11,0.246,1011054,205,304
"441",2004,"Rob Mackowiak","Pirates",155,491,555,121,76,22,6,17,65,75,50,2,114,6,7,1,3,13,4,0.246,995,206,301
"442",1994,"Andy Van Slyke","Pirates",105,374,431,92,65,18,3,6,41,30,52,7,72,2,2,0,9,7,0,0.246,1013363,134,194
"443",1963,"Dick Schofield","Pirates",138,541,619,133,110,18,2,3,54,32,69,1,83,3,2,4,10,2,4,0.246,1011601,164,241
"444",1975,"Richie Hebner","Pirates",128,472,534,116,81,16,4,15,65,57,43,6,48,10,5,3,7,0,1,0.246,1005571,185,312
"445",2002,"Kevin Young","Pirates",146,468,525,115,72,26,1,16,60,51,50,2,101,4,3,0,13,4,6,0.246,1018,191,259
"446",1963,"Bill Mazeroski","Pirates",142,534,576,131,98,22,3,8,43,52,32,6,46,0,3,7,15,2,0,0.245,1008316,183,266
"447",1955,"Frank Thomas","Pirates",142,510,581,125,82,16,2,25,72,72,60,10,76,2,6,3,13,2,0,0.245,1012976,220,352
"448",1982,"Omar Moreno","Pirates",158,645,706,158,128,18,9,3,82,44,44,2,121,1,6,10,6,60,26,0.245,1009167,203,313
"449",1968,"Gene Alley","Pirates",133,474,530,116,90,20,2,4,48,39,39,6,78,5,3,9,20,13,5,0.245,1000160,152,218
"450",1952,"Ralph Kiner","Pirates",149,516,633,126,70,17,2,37,90,87,110,NA,77,7,NA,0,6,3,0,0.244,1006923,258,478
"451",1949,"Stan Rojek","Pirates",144,557,625,136,115,19,2,0,72,31,50,NA,31,2,NA,16,10,4,NA,0.244,1011155,159,287
"452",2012,"Pedro Alvarez","Pirates",149,525,586,128,72,25,1,30,64,85,57,6,180,1,3,0,10,1,0,0.244,2495,245,273
"453",1964,"Bill Virdon","Pirates",145,473,511,115,98,11,3,3,59,27,30,1,48,0,3,5,12,1,5,0.243,1013437,141,210
"454",1943,"Pete Coscarart","Pirates",133,491,546,119,94,19,6,0,57,48,46,NA,48,0,NA,9,10,4,NA,0.242,1002649,150,257
"455",1959,"Bill Mazeroski","Pirates",135,493,537,119,91,15,6,7,50,59,29,1,54,1,4,10,16,1,3,0.241,1008316,167,253
"456",2000,"Pat Meares","Pirates",132,462,514,111,74,22,2,13,55,47,36,6,91,8,3,5,13,1,0,0.24,1008712,176,232
"457",1977,"Omar Moreno","Pirates",150,492,533,118,83,19,9,7,69,34,38,5,102,1,2,0,4,53,16,0.24,1009167,176,269
"458",1969,"Freddie Patek","Pirates",147,460,522,110,95,9,1,5,48,32,53,15,86,1,1,7,14,15,8,0.239,1010052,136,199
